"uniprotkb_canonical_ac","status","gene_name","reviewed_isoforms","unreviewed_isoforms"
"P0DTD2-1","reviewed","","P0DTD2-1",""
"P0DTD1-1","reviewed","rep","P0DTD1-1",""
"A0A663DJA2-1","unreviewed","ORF10","","A0A663DJA2-1"
"P0DTG1-1","reviewed","","P0DTG1-1",""
"P0DTD3-1","reviewed","","P0DTD3-1",""
"P0DTC7-1","reviewed","","P0DTC7-1",""
"P0DTC6-1","reviewed","","P0DTC6-1",""
"P0DTC5-1","reviewed","","P0DTC5-1",""
"P0DTC4-1","reviewed","E","P0DTC4-1",""
"P0DTC3-1","reviewed","","P0DTC3-1",""
"P0DTC2-1","reviewed","S","P0DTC2-1",""
"P0DTC1-1","reviewed","","P0DTC1-1",""
"P0DTD8-1","reviewed","","P0DTD8-1",""
"P0DTG0-1","reviewed","","P0DTG0-1",""
"P0DTF1-1","reviewed","","P0DTF1-1",""
"P0DTC9-1","reviewed","N","P0DTC9-1",""
"P0DTC8-1","reviewed","","P0DTC8-1",""
