"glytoucan_ac","glytoucan_type","glycan_mass","glycan_permass","base_composition","composition","topology","monosaccharides","is_motif"
"G82175BQ","Saccharide","1177.36905297","1429.65075423","G97828ZX","G35891PL","G99382PO","6","False"
"G82177FD","Saccharide","965.333594075","1217.61529533","G15864IF","G08570DT","G43175KW","4","False"
"G82184VE","Topology","836.29100094","1060.54140206","G63053UD","G97203HL","G82184VE","4","False"
"G82186ZW","Topology","1259.46506188","1567.80936342","G80475RE","G55710AV","G82186ZW","7","False"
"G82190CR","Saccharide","1113.40715301","1393.72015442","G57317CE","G92120IY","G58298ZT","6","False"
"G82195FD","Saccharide","2513.87842253","3130.56702561","G84044GC","G88057TN","G72179WW","12","False"
"G82201IZ","Saccharide","3755.33291971","4652.33452419","G79098NN","G88438SU","G57200TE","19","False"
"G82202JN","Saccharide","1363.47602054","1713.86727229","G04371QE","G83619DN","G23619OV","7","False"
"G82207VX","Saccharide","2044.69754491","2577.29224757","G83460ZZ","G91301DM","G27502BJ","12","False"
"G82209TY","Saccharide","693.269143245","889.488244225","","G97732UQ","G31113JM","4","False"
"G82209VO","Composition","3041.06344213","3783.89289584","G01883MR","G82209VO","","15","False"
"G82211NA","Saccharide","326.12129707","424.23084756","G08453HV","G61197BF","G54779BT","2","False"
"G82216FP","Topology","853.306316675","1077.5567178","G54630CD","G31022UW","G82216FP","5","False"
"G82216JH","Saccharide","2283.86092191","2830.47127464","","G53611MH","G06175CN","13","False"
"G82217WD","BaseComposition","625.152398895","765.308899595","G82217WD","","","3","False"
"G82221BU","Saccharide","2077.74549812","2582.30890064","G70382FA","G40436IV","G74051GG","11","False"
"G82226QL","Topology","2534.9250384","3165.62929155","","G62180TV","G82226QL","14","False"
"G82227EQ","Saccharide","2338.86673557","2885.4770883","G61613II","G06741XC","","13","False"
"G82230HL","Composition","1745.62353238","2180.10868456","G03574QJ","G82230HL","","10","False"
"G82233EX","Saccharide","504.1690352","658.34118597","G39365VM","G09269CO","G78242EN","3","False"
"G82233NS","Composition","2011.64440384","2474.16085616","G64357FQ","G82233NS","","10","False"
"G82233UN","Saccharide","1640.59217262","2047.04602465","G68990JR","G23794VW","G55797TR","9","False"
"G82234NO","Saccharide","3535.23823137","4390.19288564","G90032FM","G13592BC","G66374JF","17","False"
"G82234ZF","Saccharide","894.33286578","1118.5832669","G93579XB","G40076YB","G32537PS","5","False"
"G82236PZ","Saccharide","675.258578545","843.446379385","G90353UY","G22979OY","G27653YS","4","False"
"G82239PP","BaseComposition","465.115225465","577.240426025","G82239PP","","","2","False"
"G82243CK","Topology","1057.38093824","1351.70958971","","G13141ZF","G82243CK","5","False"
"G82249SB","Topology","974.28968037","1184.52443142","G67631MS","G34953RY","G82249SB","5","False"
"G82251XS","Saccharide","2717.97819624","3362.69809945","G47847GV","G03692CL","G49167FG","14","False"
"G82252QI","Saccharide","1932.70799036","2395.22444267","G60923RB","G81910EG","G66278QZ","11","False"
"G82252SA","Saccharide","221.089937305","291.168187655","G29068FM","","G70994MS","1","False"
"G82258GN","Saccharide","2602.79132341","3163.41732621","G50576YD","G13368YT","G24555LO","13","False"
"G82261XI","Saccharide","1975.75018954","2452.28229192","","G61030TZ","G24867PK","11","False"
"G82264VK","Saccharide","1113.40715301","1393.72015442","G57317CE","G87030LJ","G31552VX","6","False"
"G82267MT","Saccharide","1099.42788845","1379.74088985","","G89650RP","G92740EF","6","False"
"G82271PU","Saccharide","666.2218587","862.44095968","G90306QO","G65968NT","G24521PI","4","False"
"G82273LS","Saccharide","1640.59217262","2047.04602465","G68990JR","G73811LP","G24355FU","9","False"
"G82273ZM","Saccharide","1728.60821665","2163.09336882","G68190MT","G71132GC","G45319NP","9","False"
"G82276YZ","Topology","422.082542625","548.223393255","G38621WW","G40783MY","G82276YZ","2","False"
"G82285OB","Saccharide","1177.36905297","1429.65075423","G97828ZX","G35891PL","G24992BU","6","False"
